Year, Net Migration ,Net Migration growth(%),Cash Rate (%),Median House Price (AUD),,Average Annual Wage (AUD),Average Annual Wage Growth (%),S&P 500 (USD),USD/AUD Exchange Rate, S&P 500 (AUD) , S&P 500 (AUD) base 100 ,Year,Inflation Rate, Net Migration Base 1 , Cumulative Migration , Median House Price (AUD) Base 100 , Average Annual Wage (AUD) base 1 ,Median House Price growth (%)(AUD)
2001," 120,000 ",,5,180000,,46000,5%,"1,148",1.93," 2,216 "," 3,197 ",2001,4.41%, 49.94 ," 2,497,000 ", 7.20 , 4.60 ,6%
2002," 130,000 ",,4.75,200000,,48000,4%,880,1.84," 1,619 "," 2,337 ",2002,2.98%, 52.54 ," 2,627,000 ", 8.00 , 4.80 ,11%
2003," 140,000 ",,4.75,230000,,50000,4%,"1,112",1.5," 1,668 "," 2,407 ",2003,2.73%, 55.34 ," 2,767,000 ", 9.20 , 5.00 ,15%
2004," 150,000 ",,5.25,250000,,52000,4%,"1,212",1.36," 1,648 "," 2,379 ",2004,2.34%, 58.34 ," 2,917,000 ", 10.00 , 5.20 ,9%
2005," 160,000 ",,5.5,260000,,55000,6%,"1,248",1.33," 1,660 "," 2,395 ",2005,2.69%, 61.54 ," 3,077,000 ", 10.40 , 5.50 ,4%
2006," 180,000 ",,6,300000,,58000,5%,"1,418",1.33," 1,886 "," 2,721 ",2006,3.56%, 65.14 ," 3,257,000 ", 12.00 , 5.80 ,15%
2007," 200,000 ",,6.5,350000,,61000,5%,"1,468",1.2," 1,762 "," 2,542 ",2007,2.33%, 69.14 ," 3,457,000 ", 14.00 , 6.10 ,17%
2008," 230,000 ",,7.25,380000,,65000,7%,903,1.44," 1,300 "," 1,876 ",2008,4.35%, 73.74 ," 3,687,000 ", 15.20 , 6.50 ,9%
2009," 200,000 ",,3,400000,,68000,5%,"1,115",1.26," 1,405 "," 2,027 ",2009,1.77%, 77.74 ," 3,887,000 ", 16.00 , 6.80 ,5%
2010," 180,000 ",,4.75,420000,,71000,4%,"1,258",1.02," 1,283 "," 1,852 ",2010,2.92%, 81.34 ," 4,067,000 ", 16.80 , 7.10 ,5%
2011," 190,000 ",,4.75,430000,,74000,4%,"1,258",1.03," 1,296 "," 1,870 ",2011,3.30%, 85.14 ," 4,257,000 ", 17.20 , 7.40 ,2%
2012," 200,000 ",,3.5,450000,,77000,4%,"1,426",0.97," 1,383 "," 1,996 ",2012,1.76%, 89.14 ," 4,457,000 ", 18.00 , 7.70 ,5%
2013," 190,000 ",,2.5,480000,,80000,4%,"1,848",1.04," 1,922 "," 2,773 ",2013,2.45%, 92.94 ," 4,647,000 ", 19.20 , 8.00 ,7%
2014," 180,000 ",,2.5,510000,,83000,4%,"2,059",1.11," 2,285 "," 3,298 ",2014,2.49%, 96.54 ," 4,827,000 ", 20.40 , 8.30 ,6%
2015," 179,000 ",,2,550000,,85000,2%,"2,044",1.33," 2,719 "," 3,923 ",2015,1.51%, 100.12 ," 5,006,000 ", 22.00 , 8.50 ,8%
2016," 190,000 ",,1.5,580000,,87000,2%,"2,239",1.35," 3,023 "," 4,362 ",2016,1.28%, 103.92 ," 5,196,000 ", 23.20 , 8.70 ,5%
2017," 200,000 ",,1.5,620000,,89000,2%,"2,674",1.3," 3,476 "," 5,016 ",2017,1.95%, 107.92 ," 5,396,000 ", 24.80 , 8.90 ,7%
2018," 210,000 ",,1.5,610000,,91000,2%,"2,507",1.34," 3,359 "," 4,848 ",2018,1.91%, 112.12 ," 5,606,000 ", 24.40 , 9.10 ,-2%
2019," 194,000 ",,1,600000,,93000,2%,"3,231",1.44," 4,653 "," 6,714 ",2019,1.61%, 116.00 ," 5,800,000 ", 24.00 , 9.30 ,-2%
2020," (85,000)",,0.1,650000,,95000,2%,"3,756",1.45," 5,446 "," 7,859 ",2020,0.85%, 114.30 ," 5,715,000 ", 26.00 , 9.50 ,8%
2021," 171,000 ",,0.1,750000,,97000,2%,"4,766",1.33," 6,339 "," 9,147 ",2021,2.86%, 117.72 ," 5,886,000 ", 30.00 , 9.70 ,15%
2022," 536,000 ",,2.35,800000,,99000,2%,"3,839",1.45," 5,567 "," 8,033 ",2022,6.6%, 128.44 ," 6,422,000 ", 32.00 , 9.90 ,7%
2023," 446,000 ",,4.1,850000,,100000,1%,"4,770",1.5," 7,155 "," 10,325 ",2023,5.6%, 137.36 ," 6,868,000 ", 34.00 , 10.00 ,6%
2024," 446,000 ",,4.35,918000,,103000,3%,"6,051",1.5," 9,077 "," 13,097 ",2024,3.2%, 146.28 ," 7,314,000 ", 36.72 , 10.30 ,8%
2025, - ,,3.85,1199000,,105000,2%,"6,260",1.48," 9,265 "," 13,369 ",2025,2.4%, 146.28 ,#VALUE!, 47.96 , 10.50 ,31%
